DM Sigma Time Sample Downfact
0.00 8.39 18.130161 276897 14
0.00 8.12 18.160476 277360 14
0.00 8.43 18.190923 277825 9
0.00 7.59 18.221827 278297 3
0.00 8.88 18.251815 278755 6
0.00 6.30 18.282917 279230 2
0.00 8.49 18.313298 279694 9
0.00 9.43 18.34394 280162 6
0.00 5.22 18.344202 280166 6
0.00 7.81 18.374452 280628 9
0.00 5.03 18.39475 280938 30
0.00 8.42 18.405095 281096 14
0.00 9.25 18.435542 281561 9
0.00 10.29 18.46625 282030 14
0.00 12.08 18.496696 282495 9
0.00 6.84 18.527143 282960 9
0.00 5.06 18.534738 283076 1
0.00 10.00 18.557786 283428 14
0.00 8.13 18.588167 283892 14
0.00 6.73 18.618351 284353 14
0.00 12.82 18.648798 284818 14
0.00 7.72 18.70969 285748 14
0.00 5.43 18.771107 286686 14
0.00 10.66 18.801685 287153 9
0.00 8.74 18.832458 287623 4
0.00 7.18 18.863101 288091 6
0.00 7.29 18.893744 288559 14
0.00 5.46 18.894268 288567 14
0.00 6.20 18.95444 289486 9
0.00 6.51 19.015661 290421 6
0.00 11.95 19.046238 290888 9
0.00 8.05 19.076815 291355 9
0.00 6.47 19.107458 291823 9
0.00 5.50 19.138429 292296 9
0.00 7.71 19.168875 292761 9
0.00 6.46 19.19919 293224 4
0.00 5.01 19.199714 293232 3
0.00 9.49 19.260345 294158 6
0.00 13.57 19.290726 294622 14
0.00 6.50 19.351488 295550 14
0.00 12.61 19.382065 296017 14
0.00 9.54 19.412381 296480 14
0.00 6.74 19.442958 296947 14
0.00 5.12 19.504244 297883 9
0.00 9.24 19.535018 298353 9
0.00 6.25 19.535345 298358 9
0.00 7.97 19.566054 298827 3
0.00 9.62 19.59722 299303 14
0.00 8.05 19..658768 300243 3
0.00 7.71 19.659226 300250 3
0.00 6.91 19.720774 301190 9
0.00 9.70 19.752202 301670 9
0.00 7.90 19.782845 302138 9
0.00 11.52 19.813619 302608 14
0.00 7.36 19.844655 303082 14
0.00 9.72 19.87556 303554 6
0.00 11.34 19.937304 304497 9
0.00 8.04 19.937631 304502 9
0.00 11.32 19.968536 304974 14
0.00 8.42 19.999637 305449 14
0.00 6.29 20.030411 305919 14
0.00 9.01 20.061577 306395 14
0.00 10.64 20.12319 307336 20
0.00 11.81 20.154161 307809 14
0.00 10.78 20.215643 308748 14
0.00 8.66 20.24622 309215 14
0.00 12.52 20.27719 309688 14
0.00 8.69 20.308161 310161 6
0.00 10.61 20.338869 310630 9
0.00 5.91 20.399042 311549 70
0.00 6.80 20.432042 312053 6
0.00 5.27 20.439702 312170 1
0.00 6.95 20.493786 312996 6
0.00 11.92 20.523905 313456 9
0.00 6.15 20.58519 314392 3
0.00 7.41 20.616226 314866 20
0.00 6.58 20.64772 315347 45
0.00 8.44 20.678232 315813 14
0.00 5.15 20.709071 316284 14
0.00 7.99 20.740238 316760 14
0.00 11.25 20.771077 317231 9
0.00 5.42 20.771405 317236 9
0.00 6.28 20.83328 318181 6
0.00 10.86 20.864185 318653 14
0.00 11.13 20.894565 319117 6
0.00 9.77 21.017006 320987 9
0.00 7.03 21.017333 320992 9
0.00 11.88 21.048304 321465 9
0.00 6.45 21.078619 321928 14
0.00 7.61 21.134274 322778 100
0.00 6.94 21.17094 323338 6
0.00 6.30 21.181155 323494 100
0.00 8.80 21.229804 324237 100
0.00 6.29 21.263 324744 14
0.00 11.77 21.293577 325211 14
0.00 5.19 21.299994 325309 70
0.00 5.96 21.324024 325676 14
0.00 9.72 21.354143 326136 6
0.00 5.87 21.369464 326370 100
0.00 9.58 21.384786 326604 9
0.00 10.63 21.415756 327077 14
0.00 5.43 21.416476 327088 20
0.00 7.82 21.446268 327543 14
0.00 7.40 21.465845 327842 70
0.00 5.30 21.47678 328009 9
0.00 7.26 21.517702 328634 45
0.00 13.65 21.569167 329420 14
0.00 9.51 21.600006 329891 14
0.00 6.39 21.618929 330180 70
0.00 11.86 21.630714 330360 14
0.00 6.34 21.631238 330368 14
0.00 7.96 21.661554 330831 14
0.00 6.94 21.691869 331294 6
0.00 10.87 21.722446 331761 14
0.00 8.80 21.753024 332228 9
0.00 6.32 21.813524 333152 4
0.00 6.91 21.824458 333319 70
0.00 9.35 21.844167 333620 9
0.00 8.85 21.874744 334087 9
0.00 8.17 21.905387 334555 6
0.00 7.37 21.917631 334742 100
0.00 12.87 21.936161 335025 14
0.00 11.33 21.967 335496 14
